"species","feeding","motility","tiering","size"
"Catubria paronae","suspension","non_motile_attached","epifaunal_erect","small"
"Acharax frenademezi","deposit_mining_chemosymbiotic","facultative","shallow_infaunal","medium"
"Allorisma depressum","suspension","facultative","shallow_infaunal","medium"
"Avicula genitrix","suspension","non_motile_byssate","epifaunal_surficial","medium"
"Avicula salvani","suspension","non_motile_byssate","epifaunal_surficial","medium"
"Avicula aff. tofanae","suspension","non_motile_byssate","epifaunal_surficial","small"
"Aviculopecten praecursor","suspension","non_motile_byssate","epifaunal_surficial","medium"
"Aviculopecten pseudocaenus","suspension","non_motile_byssate","epifaunal_surficial","medium"
"Aviculopecten? bellerophontis","suspension","non_motile_byssate","epifaunal_surficial","medium"
"Aviculopecten cf. squamula","suspension","non_motile_byssate","epifaunal_surficial","medium"
"Bakevellia (Bakevellia) binneyi","suspension","non_motile_byssate","epifaunal_surficial","medium"
"Bakevellia (Bakevellia) ceratophaga","suspension","non_motile_byssate","epifaunal_surficial","small"
"Bakevellia (Bakevellia) preromangica","suspension","non_motile_byssate","epifaunal_surficial","small"
"Bakevellia (Bakevellia) cf. nikitowkensis","suspension","non_motile_byssate","epifaunal_surficial","small"
"Cardiomorpha globata","suspension","non_motile_unattached","semi_infaunal","medium"
"Cardiomorpha aff. nysti","suspension","non_motile_unattached","semi_infaunal","medium"
"Cassianella? stachei","suspension","non_motile_unattached","epifaunal_surficial","medium"
"Crenipecten? dichotomo_costatus","suspension","non_motile_unattached","epifaunal_surficial","medium"
"Edmondia cf. radiata","suspension","facultative","deep_infaunal","medium"
"Edmondia hautmanni","suspension","facultative","deep_infaunal","medium"
"Etheripecten stuflesseri","suspension","non_motile_byssate","epifaunal_surficial","medium"
"Eumorphotis cingulata","suspension","non_motile_byssate","epifaunal_surficial","medium"
"Eumorphotis lorigae","suspension","non_motile_byssate","epifaunal_surficial","medium"
"Eumorphotis praecurrens","suspension","non_motile_byssate","epifaunal_surficial","medium"
"Eumorphotis striatocostata","suspension","non_motile_byssate","epifaunal_surficial","medium"
"Gardenapecten comelicanus","suspension","non_motile_byssate","epifaunal_surficial","medium"
"Gardenapecten trinkeri","suspension","non_motile_byssate","epifaunal_surficial","medium"
